State,Dataset,URL,exist,exist comments,digital,digital comments,public,public comments,free,free comments,online,online comments,machine-readable,machine-readable comments,bulk,bulk comments,license,license comments,up-to-date,up-to-date comments,in repo,in repo comments,verifiable,verifiable comments,complete,complete comments,comments
Georgia,Restaurant Inspections,https://dph.georgia.gov/environmental-health-inspections,1,,1,,1,,1,,1,,0,,0,,0,Site is silent on copyright and license.,1,,0,GA has no repo.,0,,0,Not all counties’ data is available.,
Georgia,Population Projections,https://opb.georgia.gov/population-projections,1,,1,,1,,1,,0,Data is obtained by e-mailing a PDF request form. I have not attempted to request it.,,,0,,0,Site is silent on copyright and license.,1,,0,GA has no repo.,0,"Site uses SSL, but the data is provided by e-mail.",,,
Georgia,Vehicle Crashes,http://www.gahighwaysafety.org/research/,1,,1,,1,,1,,1,,0,PDFs.,0,,0,Copyright statement in footer.,1,,0,GA has no repo.,0,,0,"These are statistics, not data.",
Illinois,Companies,http://www.cyberdriveillinois.com/departments/business_services/home.html,1,,1,,1,,1,,1,,0,,0,,0,Contains an explicit prohibition on “copying or downloading of the database information.”,1,,0,,0,,1,,
Illinois,Incarceration,http://www2.illinois.gov/idoc/reportsandstatistics/Pages/default.aspx,1,,1,,1,,1,,1,,0,"PDF, containing screenshots from Excel.",0,,0,Site is silent on copyright and license.,0,Most recent data is from 2013.,0,,0,,0,Does not indicate facilities’ capacity or population change over time.,
Illinois,State-Owned Real Estate,no,0,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,Checkbook,http://www.accountability.illinois.gov/,1,"Confusing, there are two Illinois checkbook sites. The other one is at http://ledger.illinoiscomptroller.com/. We evaluated the “accountability” site, because it is better.",1,,1,,1,,0,,0,,0,,0,Copyright statement in footer.,,1,0,,0,,0,"Doesn't provide payment dates, check numbers, transaction dates, or a transaction description.",
Illinois,Address Points,no,0,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,Legislative Data,no,1,,1,,1,,1,,1,,0,,0,,0,Site is silent on copyright and license.,1,,0,,0,,1,,
Illinois,Restaurant Inspections,no,0,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,Population Projections,http://www2.illinoisbiz.biz/popProj/,1,,1,,1,,1,,1,,1,,1,,0,Site is silent on copyright and license.,0,Appears to be more than a decade old.,0,"There appears to be an entry for this in the repo, but it’s password-protected.",0,,0,No GNIS IDs.,
Illinois,Vehicle Crashes,http://www.idot.illinois.gov/transportation-system/safety/Illinois-Roadway-Crash-Data,1,,1,,1,,1,,1,,0,PDFs.,0,,0,Copyright statement in footer.,1,,0,,0,,0,"These are statistics, not data.",
